,symbol,sector,allocation
383,IVOO,Utilities,0.035
384,VOX,Advertising,0.034
385,VOX,Alternative Carriers,0.022
386,VOX,Broadcasting,0.026
387,VOX,Cable & Satellite,0.096
388,VOX,Integrated Telecommunication Services,0.091
389,VOX,Interactive Home Entertainment,0.034
390,VOX,Interactive Media & Services,0.494
391,VOX,Movies & Entertainment,0.147
392,VOX,Publishing,0.019
393,VOX,Wireless Telecommunication Services,0.037
394,VAW,Aluminum,0.005
395,VAW,Commodity Chemicals,0.071
396,VAW,Construction Materials,0.058
397,VAW,Copper,0.044
398,VAW,Diversified Chemicals,0.007
399,VAW,Diversified Metals & Mining,0.005
400,VAW,Fertilizers & Agricultural Chemicals,0.063
401,VAW,Forest Products,0.003
402,VAW,Gold,0.046
403,VAW,Industrial Gases,0.228
404,VAW,"Metal, Glass & Plastic Containers",0.044
405,VAW,Paper & Plastic Packaging Products & Materials,0.071
406,VAW,Paper Products,0.002
407,VAW,Silver,0.002
408,VAW,Specialty Chemicals,0.249
409,VAW,Steel,0.1
410,VMGAX,Basic Materials,0.014
411,VMGAX,Consumer Discretionary,0.218
412,VMGAX,Consumer Staples,0.006
413,VMGAX,Energy,0.006
414,VMGAX,Financials,0.016
415,VMGAX,Health Care,0.077
416,VMGAX,Industrials,0.076
417,VMGAX,Real Estate,0.012
418,VMGAX,Technology,0.568
419,VMGAX,Telecommunications,0.007
420,VITAX,Application Software,0.151
421,VITAX,Communications Equipment,0.038
422,VITAX,Electronic Components,0.011
423,VITAX,Electronic Equipment & Instruments,0.015
424,VITAX,Electronic Manufacturing Services,0.012
425,VITAX,Internet Services & Infrastructure,0.018
426,VITAX,IT Consulting & Other Services,0.041
427,VITAX,Semiconductor Materials & Equipment,0.036
428,VITAX,Semiconductors,0.194
429,VITAX,Systems Software,0.246
430,VITAX,Technology Distributors,0.007
431,VITAX,"Technology Hardware, Storage & Periphera",0.233
432,VDE,Coal & Consumable Fuels,0.005
433,VDE,Integrated Oil & Gas,0.382
434,VDE,Oil & Gas Drilling,0.013
435,VDE,Oil & Gas Equipment & Services,0.106
436,VDE,Oil & Gas Exploration & Production,0.293
437,VDE,Oil & Gas Refining & Marketing,0.098
438,VDE,Oil & Gas Storage & Transportation,0.104
439,VFTNX,Basic Materials,0.017
440,VFTNX,Consumer Discretionary,0.158
441,VFTNX,Consumer Staples,0.054
442,VFTNX,Energy,0.001
443,VFTNX,Financials,0.095
444,VFTNX,Health Care,0.14
445,VFTNX,Industrials,0.095
446,VFTNX,Real Estate,0.027
447,VFTNX,Technology,0.38
448,VFTNX,Telecommunications,0.029
449,VFTNX,Utilities,0.004
450,VIGIX,Basic Materials,0.014
451,VIGIX,Consumer Discretionary,0.21
452,VIGIX,Consumer Staples,0.007
453,VIGIX,Energy,0.015
454,VIGIX,Financials,0.024
455,VIGIX,Health Care,0.081
456,VIGIX,Industrials,0.088
457,VIGIX,Real Estate,0.018
458,VIGIX,Technology,0.531
459,VIGIX,Telecommunications,0.01
460,VIGIX,Utilities,0.002
461,VONG,Basic Materials,0.004
462,VONG,Consumer Discretionary,0.191
463,VONG,Consumer Staples,0.029
464,VONG,Energy,0.007
465,VONG,Financials,0.025
466,VONG,Health Care,0.107
467,VONG,Industrials,0.102
468,VONG,Real Estate,0.009
469,VONG,Technology,0.516
470,VONG,Telecommunications,0.007
471,VONG,Utilities,0.003
472,VPU,Electric Utilities,0.623
473,VPU,Gas Utilities,0.043
474,VPU,Independent Power Producers & Energy Traders,0.021
475,VPU,Multi-Utilities,0.262
476,VPU,Renewable Electricity,0.01
477,VPU,Water Utilities,0.041
478,VGYAX,Communication Services,0.045
479,VGYAX,Consumer Discretionary,0.068
480,VGYAX,Consumer Staples,0.071
481,VGYAX,Energy,0.1
482,VGYAX,Financials,0.236
483,VGYAX,Health Care,0.15
484,VGYAX,Industrials,0.082
485,VGYAX,Information Technology,0.089
486,VGYAX,Materials,0.02
487,VGYAX,Real Estate,0.017
488,VGYAX,Utilities,0.122
489,VOT,Basic Materials,0.019
490,VOT,Consumer Discretionary,0.134
491,VOT,Consumer Staples,0.021
492,VOT,Energy,0.08
493,VOT,Financials,0.068
494,VOT,Health Care,0.118
495,VOT,Industrials,0.198
496,VOT,Real Estate,0.071
497,VOT,Technology,0.233
498,VOT,Telecommunications,0.039
499,VOT,Utilities,0.019
500,IVOV,Communication Services,0.018
501,IVOV,Consumer Discretionary,0.166
502,IVOV,Consumer Staples,0.044
503,IVOV,Energy,0.023
504,IVOV,Financials,0.192
505,IVOV,Health Care,0.059
506,IVOV,Industrials,0.193
507,IVOV,Information Technology,0.105
508,IVOV,Materials,0.06
509,IVOV,Real Estate,0.107
510,IVOV,Utilities,0.033
511,VASVX,Communication Services,0.018
512,VASVX,Consumer Discretionary,0.165
513,VASVX,Consumer Staples,0.017
514,VASVX,Energy,0.036
515,VASVX,Financials,0.271
516,VASVX,Health Care,0.074
517,VASVX,Industrials,0.191
518,VASVX,Information Technology,0.09
519,VASVX,Materials,0.078
520,VASVX,Real Estate,0.04
521,VASVX,Utilities,0.02
522,VUG,Basic Materials,0.014
523,VUG,Consumer Discretionary,0.21
524,VUG,Consumer Staples,0.007
525,VUG,Energy,0.015
526,VUG,Financials,0.024
527,VUG,Health Care,0.081
528,VUG,Industrials,0.088
529,VUG,Real Estate,0.018
530,VUG,Technology,0.531
531,VUG,Telecommunications,0.01
532,VUG,Utilities,0.002
533,VMFVX,Communication Services,0.018
534,VMFVX,Consumer Discretionary,0.166
535,VMFVX,Consumer Staples,0.044
536,VMFVX,Energy,0.023
537,VMFVX,Financials,0.192
538,VMFVX,Health Care,0.059
539,VMFVX,Industrials,0.193
540,VMFVX,Information Technology,0.105
541,VMFVX,Materials,0.06
542,VMFVX,Real Estate,0.107
543,VMFVX,Utilities,0.033
544,VHT,Biotechnology,0.187
545,VHT,Health Care Distributors,0.025
546,VHT,Health Care Equipment,0.174
547,VHT,Health Care Facilities,0.016
548,VHT,Health Care Services,0.051
549,VHT,Health Care Supplies,0.011
550,VHT,Health Care Technology,0.009
551,VHT,Life Sciences Tools & Services,0.101
552,VHT,Managed Health Care,0.141
553,VHT,Pharmaceuticals,0.286
554,VRTTX,Basic Materials,0.02
555,VRTTX,Consumer Discretionary,0.141
556,VRTTX,Consumer Staples,0.051
557,VRTTX,Energy,0.048
558,VRTTX,Financials,0.106
559,VRTTX,Health Care,0.125
560,VRTTX,Industrials,0.129
561,VRTTX,Real Estate,0.028
562,VRTTX,Technology,0.302
563,VRTTX,Telecommunications,0.023
564,VRTTX,Utilities,0.027
565,VIG,Communication Services,0.013
566,VIG,Consumer Discretionary,0.068
567,VIG,Consumer Staples,0.123
568,VIG,Energy,0.032
569,VIG,Financials,0.183
570,VIG,Health Care,0.155
571,VIG,Industrials,0.13
572,VIG,Information Technology,0.224
573,VIG,Materials,0.044
574,VIG,Utilities,0.028
575,VSGAX,Basic Materials,0.02
576,VSGAX,Consumer Discretionary,0.16
577,VSGAX,Consumer Staples,0.036
578,VSGAX,Energy,0.076
579,VSGAX,Financials,0.043
580,VSGAX,Health Care,0.169
581,VSGAX,Industrials,0.193
582,VSGAX,Real Estate,0.055
583,VSGAX,Technology,0.217
584,VSGAX,Telecommunications,0.017
585,VSGAX,Utilities,0.014
586,VWNEX,Communication Services,0.054
587,VWNEX,Consumer Discretionary,0.077
588,VWNEX,Consumer Staples,0.064
589,VWNEX,Energy,0.077
590,VWNEX,Financials,0.215
591,VWNEX,Health Care,0.165
592,VWNEX,Industrials,0.119
593,VWNEX,Information Technology,0.087
594,VWNEX,Materials,0.048
595,VWNEX,Real Estate,0.038
596,VWNEX,Utilities,0.056
597,VGIAX,Communication Services,0.083
598,VGIAX,Consumer Discretionary,0.143
599,VGIAX,Consumer Staples,0.042
600,VGIAX,Energy,0.055
601,VGIAX,Financials,0.127
602,VGIAX,Health Care,0.124
603,VGIAX,Industrials,0.092
604,VGIAX,Information Technology,0.297
605,VGIAX,Materials,0.014
606,VGIAX,Real Estate,0.009
607,VGIAX,Utilities,0.014
608,VRTVX,Basic Materials,0.043
609,VRTVX,Consumer Discretionary,0.132
610,VRTVX,Consumer Staples,0.027
611,VRTVX,Energy,0.112
612,VRTVX,Financials,0.25
613,VRTVX,Health Care,0.079
614,VRTVX,Industrials,0.146
615,VRTVX,Real Estate,0.107
616,VRTVX,Technology,0.051
617,VRTVX,Telecommunications,0.012
618,VRTVX,Utilities,0.041
619,VRNIX,Basic Materials,0.019
620,VRNIX,Consumer Discretionary,0.141
621,VRNIX,Consumer Staples,0.052
622,VRNIX,Energy,0.046
623,VRNIX,Financials,0.104
624,VRNIX,Health Care,0.124
625,VRNIX,Industrials,0.126
626,VRNIX,Real Estate,0.026
627,VRNIX,Technology,0.311
628,VRNIX,Telecommunications,0.024
629,VRNIX,Utilities,0.027
630,VWUSX,Communication Services,0.149
631,VWUSX,Consumer Discretionary,0.187
632,VWUSX,Consumer Staples,0.011
633,VWUSX,Energy,0.005
634,VWUSX,Financials,0.095
635,VWUSX,Health Care,0.107
636,VWUSX,Industrials,0.038
637,VWUSX,Information Technology,0.384
638,VWUSX,Materials,0.001
639,VWUSX,Real Estate,0.023
640,VRVIX,Basic Materials,0.036
641,VRVIX,Consumer Discretionary,0.085
642,VRVIX,Consumer Staples,0.079
643,VRVIX,Energy,0.091
644,VRVIX,Financials,0.194
645,VRVIX,Health Care,0.144
646,VRVIX,Industrials,0.152
647,VRVIX,Real Estate,0.046
648,VRVIX,Technology,0.076
649,VRVIX,Telecommunications,0.043
650,VRVIX,Utilities,0.054
651,VSIAX,Basic Materials,0.051
652,VSIAX,Consumer Discretionary,0.155
653,VSIAX,Consumer Staples,0.035
654,VSIAX,Energy,0.059
655,VSIAX,Financials,0.21
656,VSIAX,Health Care,0.056
657,VSIAX,Industrials,0.237
658,VSIAX,Real Estate,0.084
659,VSIAX,Technology,0.057
660,VSIAX,Telecommunications,0.01
661,VSIAX,Utilities,0.046
662,VTCIX,Basic Materials,0.018
663,VTCIX,Consumer Discretionary,0.145
664,VTCIX,Consumer Staples,0.052
665,VTCIX,Energy,0.047
666,VTCIX,Financials,0.102
667,VTCIX,Health Care,0.123
668,VTCIX,Industrials,0.128
669,VTCIX,Real Estate,0.026
670,VTCIX,Technology,0.313
671,VTCIX,Telecommunications,0.02
672,VTCIX,Utilities,0.026
673,VWNAX,Communication Services,0.076
674,VWNAX,Consumer Discretionary,0.082
675,VWNAX,Consumer Staples,0.068
676,VWNAX,Energy,0.074
677,VWNAX,Financials,0.18
678,VWNAX,Health Care,0.16
679,VWNAX,Industrials,0.096
680,VWNAX,Information Technology,0.207
681,VWNAX,Materials,0.029
682,VWNAX,Real Estate,0.014
683,VWNAX,Utilities,0.014
684,VRTIX,Basic Materials,0.039
685,VRTIX,Consumer Discretionary,0.129
686,VRTIX,Consumer Staples,0.032
687,VRTIX,Energy,0.09
688,VRTIX,Financials,0.154
689,VRTIX,Health Care,0.141
690,VRTIX,Industrials,0.186
691,VRTIX,Real Estate,0.063
692,VRTIX,Technology,0.122
693,VRTIX,Telecommunications,0.014
694,VRTIX,Utilities,0.03
695,VMVLX,Basic Materials,0.012
696,VMVLX,Consumer Discretionary,0.049
697,VMVLX,Consumer Staples,0.117
698,VMVLX,Energy,0.09
699,VMVLX,Financials,0.195
700,VMVLX,Health Care,0.202
701,VMVLX,Industrials,0.142
702,VMVLX,Real Estate,0.012
703,VMVLX,Technology,0.095
704,VMVLX,Telecommunications,0.046
705,VMVLX,Utilities,0.04
706,VHCIX,Biotechnology,0.187
707,VHCIX,Health Care Distributors,0.025
708,VHCIX,Health Care Equipment,0.174
709,VHCIX,Health Care Facilities,0.016
710,VHCIX,Health Care Services,0.051
711,VHCIX,Health Care Supplies,0.011
712,VHCIX,Health Care Technology,0.009
713,VHCIX,Life Sciences Tools & Services,0.101
714,VHCIX,Managed Health Care,0.141
715,VHCIX,Pharmaceuticals,0.286
716,VLCAX,Basic Materials,0.017
717,VLCAX,Consumer Discretionary,0.14
718,VLCAX,Consumer Staples,0.054
719,VLCAX,Energy,0.045
720,VLCAX,Financials,0.1
721,VLCAX,Health Care,0.126
722,VLCAX,Industrials,0.116
723,VLCAX,Real Estate,0.023
724,VLCAX,Technology,0.328
725,VLCAX,Telecommunications,0.023
726,VLCAX,Utilities,0.028
727,VDC,Agricultural Products & Services,0.032
728,VDC,Brewers,0.007
729,VDC,Consumer Staples Merchandise Retail,0.213
730,VDC,Distillers & Vintners,0.026
731,VDC,Drug Retail,0.007
732,VDC,Food Distributors,0.027
733,VDC,Food Retail,0.029
734,VDC,Household Products,0.198
735,VDC,Packaged Foods & Meats,0.147
736,VDC,Personal Care Products,0.037
737,VDC,Soft Drinks & Non-alcoholic Beverages,0.199
738,VDC,Tobacco,0.078
739,VOOG,Communication Services,0.075
740,VOOG,Consumer Discretionary,0.102
741,VOOG,Consumer Staples,0.064
742,VOOG,Energy,0.069
743,VOOG,Financials,0.075
744,VOOG,Health Care,0.172
745,VOOG,Industrials,0.052
746,VOOG,Information Technology,0.359
747,VOOG,Materials,0.019
748,VOOG,Real Estate,0.008
749,VOOG,Utilities,0.005
750,VFMFX,Basic Materials,0.044
751,VFMFX,Consumer Discretionary,0.19
752,VFMFX,Consumer Staples,0.052
753,VFMFX,Energy,0.145
754,VFMFX,Financials,0.14
755,VFMFX,Health Care,0.085
756,VFMFX,Industrials,0.172
757,VFMFX,Real Estate,0.004
758,VFMFX,Technology,0.146
759,VFMFX,Telecommunications,0.022
760,VIS,Aerospace & Defense,0.165
761,VIS,Agricultural & Farm Machinery,0.03
762,VIS,Air Freight & Logistics,0.05
763,VIS,Building Products,0.067
764,VIS,Cargo Ground Transportation,0.026
765,VIS,Commercial Printing,0.001
766,VIS,Construction & Engineering,0.025
