,symbol,date,price
668,VCORX,2023-08-11,8.83
669,VCORX,2023-08-14,8.82
670,VCORX,2023-08-15,8.8
671,VCORX,2023-08-16,8.77
672,VCORX,2023-08-17,8.76
673,VCORX,2023-08-18,8.78
674,VCORX,2023-08-21,8.74
675,VCORX,2023-08-22,8.75
676,VCORX,2023-08-23,8.83
677,VCORX,2023-08-24,8.8
678,VCORX,2023-08-25,8.8
679,VCORX,2023-08-28,8.83
680,VCORX,2023-08-29,8.88
681,VCORX,2023-08-30,8.87
682,VCORX,2023-08-31,8.86
683,VCORX,2023-09-01,8.82
684,VCORX,2023-09-05,8.77
685,VCORX,2023-09-06,8.76
686,VCORX,2023-09-07,8.78
687,VCORX,2023-09-08,8.79
688,VCORX,2023-09-11,8.78
689,VCORX,2023-09-12,8.79
690,VCORX,2023-09-13,8.8
691,VCORX,2023-09-14,8.79
692,VCORX,2023-09-15,8.77
693,VCORX,2023-09-18,8.78
694,VCORX,2023-09-19,8.76
695,VCORX,2023-09-20,8.75
696,VCORX,2023-09-21,8.69
697,VCORX,2023-09-22,8.73
698,VCORX,2023-09-25,8.67
699,VCORX,2023-09-26,8.66
700,VCORX,2023-09-27,8.63
701,VCORX,2023-09-28,8.65
702,VCORX,2023-09-29,8.62
703,VCORX,2023-10-02,8.56
704,VCORX,2023-10-03,8.49
705,VCORX,2023-10-04,8.54
706,VCORX,2023-10-05,8.54
707,VCORX,2023-10-06,8.51
708,VCORX,2023-10-09,8.59
709,VCORX,2023-10-10,8.59
710,VCORX,2023-10-11,8.62
711,VCORX,2023-10-12,8.55
712,VCORX,2023-10-13,8.59
713,VCORX,2023-10-16,8.55
714,VCORX,2023-10-17,8.49
715,VCORX,2023-10-18,8.45
716,VCORX,2023-10-19,8.41
717,VCORX,2023-10-20,8.44
718,VCORX,2023-10-23,8.48
719,VCORX,2023-10-24,8.51
720,VCORX,2023-10-25,8.45
721,VCORX,2023-10-26,8.5
722,VCORX,2023-10-27,8.5
723,VCORX,2023-10-30,8.49
724,VCORX,2023-10-31,8.44
725,VCORX,2023-11-01,8.52
726,VCORX,2023-11-02,8.57
727,VCORX,2023-11-03,8.63
728,VCORX,2023-11-06,8.6
729,VCORX,2023-11-07,8.64
730,VCORX,2023-11-08,8.67
